t_start;t_end;chord
0.41;2.26;C:maj
2.26;5.95;F:maj
5.95;8.26;G:maj
8.26;8.72;C:maj
8.72;9.18;D:min
9.18;9.64;F:maj
9.64;10.1;G:maj
10.1;11.95;C:maj
11.95;12.87;N
12.87;13.33;F:maj
13.33;19.8;C:maj
19.8;22.56;G:maj
22.56;23.03;C:maj
23.03;23.49;F:maj
23.49;23.95;G:maj
23.95;24.41;D:min
24.41;25.33;C:maj
25.33;25.8;A:min
25.8;27.18;D:min
27.18;28.1;C:maj
28.1;29.95;F:maj
29.95;31.79;E:min
31.79;32.72;D:min
32.72;33.64;G:maj
33.64;38.26;C:maj
38.26;41.03;G:maj
41.03;41.49;C:maj
41.49;41.95;F:maj
41.95;42.87;G:maj
42.87;43.79;C:maj
43.79;44.26;A:min
44.26;44.72;D:min
44.72;45.64;G:maj
45.64;47.95;C:maj
47.95;48.41;A:min
48.41;50.26;A:maj
50.26;52.1;D:min
52.1;53.49;G:maj
53.49;53.95;N
53.95;56.72;C:maj
56.72;59.49;G:maj
59.49;59.95;C:maj
59.95;60.41;F:maj
60.41;61.33;G:maj
61.33;62.26;C:maj
62.26;62.72;A:min
62.72;63.18;D:min
63.18;64.1;G:maj
64.1;66.87;C:maj
66.87;68.72;C:min
68.72;72.41;F:maj
72.41;75.18;A#:maj
75.18;77.95;F:maj
77.95;78.41;A#:maj
78.41;78.87;D#:maj
78.87;79.79;F:maj
79.79;80.72;A#:maj
80.72;81.18;G:min
81.18;81.64;C:min
81.64;82.56;F:maj
82.56;83.49;A#:maj
83.49;83.95;F:maj
83.95;84.41;D:maj
84.41;84.87;D#:maj
84.87;85.33;C:maj
85.33;85.79;C#:maj
85.79;86.25;N
86.25;87.18;F:maj
87.18;89.95;A#:maj
89.95;92.72;F:maj
92.72;93.18;A#:maj
93.18;93.64;D#:maj
93.64;94.56;F:maj
94.56;95.49;A#:maj
95.49;95.95;G:min
95.95;97.33;C:min
97.33;99.18;A#:maj
99.18;99.64;G:min
99.64;100.13;C:min
100.13;100.73;F:maj
100.73;101.47;C#:maj
101.47;103.55;G:maj
103.55;110.01;C:maj
110.01;112.78;G:maj
112.78;113.24;C:maj
113.24;113.7;F:maj
113.7;114.62;G:maj
114.62;115.55;C:maj
115.55;116.01;A:min
116.01;116.47;D:min
116.47;118.31;G:maj
118.31;120.16;C:maj
120.16;123.85;F:maj
123.85;124.31;G:maj
124.31;125.24;C:maj
125.24;126.621;N
