,CQT-Template,CQT-Template,CQT-Template,CQT-HMM (Viterbi),CQT-HMM (Viterbi),CQT-HMM (Viterbi)
,P,R,F1,P,R,F1
RWC_R001,0.4317507418397626,0.4369369369369369,0.43432835820895516,0.0,0.0,0.0
RWC_R002,0.5199419869470631,0.5366766467065869,0.5281767955801105,0.7577955039883973,0.782185628742515,0.7697974217311234
RWC_R003,0.5559642669469259,0.5660781166399144,0.5609756097560976,0.4529689963215975,0.4612092027822365,0.45705196182396607
RWC_R004,0.447870778267254,0.4645849200304646,0.4560747663551402,0.44273127753303965,0.45925361766945927,0.4508411214953271
RWC_R005,0.3516642547033285,0.36706948640483383,0.35920177383592017,0.4037626628075253,0.4214501510574018,0.4124168514412417
RWC_R006,0.2611764705882353,0.27726894254787676,0.2689822294022617,0.5325490196078432,0.5653621981681932,0.5484652665589661
RWC_R007,0.5506807866868382,0.5691946833463644,0.5597846981930027,0.6482602118003026,0.6700547302580141,0.6589773164167628
RWC_R008,0.24550898203592814,0.26198083067092653,0.2534775888717156,0.34206586826347307,0.36501597444089456,0.35316846986089645
RWC_R009,0.6277372262773723,0.6374305126621371,0.6325467361323934,0.5079075425790754,0.515750463248919,0.5117989580140975
RWC_R010,0.37548387096774194,0.40332640332640335,0.3889074507183428,0.6645161290322581,0.7137907137907138,0.6882726361510191
RWC_R011,0.5115606936416185,0.5240562546262029,0.5177330895795247,0.4804913294797688,0.49222797927461137,0.48628884826325414
RWC_R012,0.29154078549848944,0.2982998454404946,0.29488158899923606,0.5853474320241692,0.5989180834621329,0.5920550038197098
RWC_R013,0.6653386454183267,0.6755663430420712,0.6704134885588117,0.4820717131474104,0.4894822006472492,0.4857486953030911
RWC_R014,0.3313161875945537,0.34379905808477235,0.33744221879815095,0.6747352496217852,0.7001569858712716,0.6872110939907551
RWC_R015,0.6958041958041958,0.7184115523465704,0.7069271758436945,0.5673076923076923,0.5857400722021661,0.5763765541740674
Average,0.45755599154784227,0.4720453688541704,0.4646569045888906,0.5028340419009558,0.5213732001077186,0.5118980132696186
